YS (MPa),UTS (MPa),K (Mpa),n,Lankford anisotropy coefficient (r),Category,Thickness,"Tool diameter (A, mm)","Step size (B, mm)",Spindle Speed (rpm),"Feed rate (D, mm/min)",Surface roughness (SR),Wall Angle (degree,r/h or l/h,Links,tool dia>5,tool dia>5 and n>0.11,,Category
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,4,0.2,2500,500,1.74,78.89,5.102,https://journals.sagepub.com/doi/epub/10.1177/0954405419846001,FALSE,FALSE,0,#N/A
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,10,0.2,2500,500,1.45,75.11,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,4,1,2500,500,6.91,73.68,5.102,,FALSE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,10,1,2500,500,3.91,68.32,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,10,0.6,2500,1000,2.66,77.63,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,4,0.6,2500,1000,2.91,78.99,5.102,,FALSE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,7,0.2,2500,1000,2.99,74.65,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,7,1,2500,1000,4.02,69.54,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,7,0.2,2500,500,4.74,81.27,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,7,1,2500,500,2.37,75.6,5.102,,TRUE,FALSE,,0.3103
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,7,0.6,2500,1000,4.09,69.63,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,4,0.6,2500,1000,3.15,72.29,5.102,,FALSE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,10,0.6,2500,1000,4.09,69.63,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,7,0.6,2500,500,3.15,72.21,5.102,,TRUE,FALSE,,
171.27,194.18,310.4,0.11,0.55,variable angle conical shaped part,0.7,7,0.6,2500,1000,3.05,72.34,5.102,,TRUE,FALSE,,
206,337,560,0.23,1.6,Square+circular base and conical,1,6,0.15,2000,900,1.312,45,3.42,https://journals.sagepub.com/doi/epub/10.1177/0954405414564408,TRUE,TRUE,,
206,337,560,0.23,1.6,Square+circular base and conical,1,14,0.15,2000,900,0.697,45,3.42,,TRUE,TRUE,,
206,337,560,0.23,1.6,Square+circular base and conical,1,6,0.45,2000,900,2.3151,45,3.42,,TRUE,TRUE,,
206,337,560,0.23,1.6,Square+circular base and conical,1,14,0.45,2000,900,0.8622,45,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.677,30,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.6452,35,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,1100,0.7399,35,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,900,0.75,35,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.15,2000,900,0.534,45,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.45,2000,900,0.8383,45,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.15,2000,900,0.5547,45,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.45,2000,900,0.9292,45,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,6,0.3,2000,900,1.934,35,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,14,0.3,2000,900,1.0282,55,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,6,0.3,2000,900,1.869,55,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,14,0.3,2000,900,0.9209,35,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.7024,35,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.5704,45,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.5656,45,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,1100,0.749,45,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.15,2000,900,0.7658,55,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.45,2000,900,1.0573,35,3.42,,TRUE,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,900,0.8347,55,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,2.2284,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,6,0.3,2000,700,2.593,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,14,0.3,2000,1100,0.7944,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,6,0.3,2000,900,0.8622,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,14,0.3,2000,700,0.6944,35,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.8207,35,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.916,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,900,0.9232,35,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,900,0.7418,35,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,6,0.3,2000,900,0.6337,35,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,14,0.15,2000,900,0.8812,55,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,6,0.15,2000,900,1.7091,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,14,0.45,2000,900,1.8554,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,900,0.746,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.6745,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.45,2000,1100,0.6884,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.15,2000,1100,0.884,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.45,2000,900,0.616,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,700,0.6746,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.45,2000,900,0.7717,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,900,0.536,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,10,0.3,2000,900,0.8767,45,3.42,,,,,
206,337,560,0.23,1.6,Square+circular base and conical,1,12.31,0.28,2000,1098.51,0.7105,35.01,3.42,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,8,0.5,300,300,0.46,41.7,1,https://pdf.sciencedirectassets.com/271454/1-s2.0-S0263224115X00169/1-s2.0-S026322411500559X/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEAwaCXVzLWVhc3QtMSJHMEUCIQDU9xeMpdV58ihfrFVlZmiziLSeVLu4I898fLh7I%2BpYaAIgC9KvIVaz8aPokKEn0HjD4toKyxjIshlzCWXUABMuLhoqvAUIlP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDEQZtXC6t%2FI0ArDXwyqQBeMb%2FpgvIIg9lVsrywgSuJoj2AHH2Sh3jQhQS4Bj6U2y04iWVAEcHnuARSBNxj3t7nY0R8cMaUmb6%2BPwrB3mduN5oEm6ar6Ey3naZyPE6FPskprzK%2B4Jbfa3F%2BpXSiIRkcoiInuKhQkxG3qVl50%2FRfbTU5gqaOSzRkca5bSQBY9wfDz4C7m9KucIaVFMVxJZJ%2BUwWCNTnjXLptvNsSnY6fLk49FRodL5nGOXxI7Oi6gl1Vo%2B%2FN9R%2Bcs63fvworx5mpJxf6ts%2B%2BPkeojTXafWWG2DnF5NHJ2okgu4BWqLk%2BJwK1TP94rLIosSVDfWooI6wP8u71DPtmXsTVzyxGqmKdcJvRnAuZtpeTDgW1Rpf0G1pEwg4Y4%2BGENrHlyVwjuSwwv2krqbK8G%2B1jaHRfYpoPdJybNJqV690ACX88Q2IvpNdHzI58%2B%2F4SkedK8URtk0nxbozXmVJsqxPcYQPHnI6CQs2TYugTH5TCpDOVig6Syvsue6fRokYMv%2BcWZsbbXR44DODCgNT0CENGoMnYWHUaRFztd6W1Dame8kHFn86bKWzUp0gmjDtivSLn8zReUtitzCXpHVMd23KVShE7f7TAPMZ%2BdPcXuW23D5KH%2BYfaBwREs8WEbF1iAlU9tRKlJyMs0mEEkBMz6YVIeYbBIPMlsJvP857uNfJt%2BdCB4Fw0uPnIv%2Fm%2BJ7r%2FPkQwBu1wrYgDAC52vUiCUV298%2Fyu5una4tciiKBFK7GK5ojvrS53pUL0SxQ5SDMr%2FIFohWfW2oB5ou9BWTYkmEH%2BTp%2FHLArIRaRQwsQv7kRPucjwmvOjXdibaoRAqJPvfyQ1AR6dIVL3q6qjEA60H%2Bpe7fT5PD%2B62%2BugkMjIXFiYBuVIiGPOsLMNGn%2BLIGOrEBaTw%2BMk59kB43Ekj%2B1LVZ4%2FJOOR8J7T%2BK%2B2oriUJiNiH26uYqOVeqlBy3AKrG%2BAIBt8jKYvbg63lTNDjqlPJ3T7JY0wwfLXAWo1bW4fB0dlWFfznpsDEwfTGnRyPKzdvSnrSEcwiDgpRoUwFc%2Bi9fi1WGcfrv4I2p8NISvn96aezNrQVtXrVJPbFx821kgu%2FnveMGIV7fAxysCTmE2769P3SJS5l8QyrpIhVS5O9Iw0%2Be&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240603T201609Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYQTQIEZHQ%2F20240603%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=047f64cd2886af27f148d9690bb7969fa06d6d628b9754c8c05afaa423017795&hash=220e4ed352c2f99808cc81b39a5c4d8b4f0923386a86a6060bcbce07843dad69&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S026322411500559X&tid=spdf-84c890a1-ee49-4a47-a134-b2a6cd4e1ad3&sid=154d406711c6a444ec3896c0c9a9b783a4c0gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0d095e5907555a0d08&rr=88e25bfa68e933b4&cc=in,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,10,1,450,600,1.13,49.7,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,12,1.5,600,900,1.03,55.015,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,8,1,450,300,1.18,43.573,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,10,1.5,600,600,0.91,53.037,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,12,0.5,300,900,0.81,41.8,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,8,1.5,300,600,0.65,53.148,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,10,0.5,450,900,0.3,35.245,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,12,1,600,300,0.78,41.113,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,8,1,600,900,0.97,44.5,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,10,1.5,300,300,1.3,52.25,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,12,0.5,450,600,1.11,36.05,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,8,0.5,600,600,0.76,36.167,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,10,1,300,900,1.29,51.033,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,12,1.5,450,300,1,50.133,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,8,1.5,450,900,1.28,52.058,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,10,0.5,600,300,0.95,31.95,1,,,,,
135,150,210,0.25,0.77,variable angle circular shaped part,0.4,12,1,300,600,0.84,48.88,1,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,6,0.25,2000,60,1.5,21.9,2.49,https://www.researchgate.net/publication/334338010_Inverse_analysis_and_multi-objective_optimization_of_single-point_incremental_forming_of_AA5083_aluminum_alloy_sheet,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,10,0.25,2000,60,1.2,17.7,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,6,0.75,2000,60,1,46.9,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,10,0.75,2000,60,1.5,49,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,6,0.25,2000,100,2.3,18.7,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,10,0.25,2000,100,1.5,19.1,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,6,0.75,2000,100,3,53.7,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,10,0.75,2000,100,1.9,45.9,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,6,0.5,2000,80,2.2,43,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,10,0.5,2000,80,3.2,40.1,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,8,0.25,2000,80,2.3,17.8,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,8,0.75,2000,80,2.8,51.6,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,8,0.5,2000,60,2.5,55.6,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,8,0.5,2000,100,4,61.8,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,8,0.5,2000,80,3.2,60.8,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,6,0.3,2000,70,2.1,40,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,7,0.6,2000,70,2.7,39,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,8,0.6,2000,70,3.4,37.5,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,9,0.6,2000,70,3.2,38,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,10,0.3,2000,90,1.8,55.8,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,6,0.6,2000,90,3.1,46.9,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,7,0.3,2000,90,2.1,60.8,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,8,0.3,2000,90,2.9,56.9,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,9,0.3,2000,90,2.2,61,2.49,,,,,
228,317,642,0.341,0.3,Square-shaped constant angle,1,10,0.6,2000,70,2.6,32.3,2.49,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.2,2000,600,2.1,83.9,1,https://link.springer.com/article/10.1007/s40430-016-0703-7,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.2,2000,2200,2.3,83.45,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.6,2000,600,4.2,80.8,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.6,2000,2200,4.5,77.38,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,0.8,8,0.4,2000,1400,4.8,82.68,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,0.8,12,0.4,2000,1400,2.8,77.54,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1.2,8,0.4,2000,1400,4.2,82.56,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1.2,12,0.4,2000,1400,2.6,78.35,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,0.8,10,0.4,2000,600,3.3,80,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,0.8,10,0.4,2000,2200,3.5,78.98,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1.2,10,0.4,2000,600,3.2,82.33,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1.2,10,0.4,2000,2200,3.3,79.95,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,8,0.2,2000,1400,3.3,85.06,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,8,0.6,2000,1400,7.7,80.34,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,12,0.2,2000,1400,1.9,81.51,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,12,0.6,2000,1400,3.5,76.26,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,8,0.4,2000,600,5.4,81.72,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,8,0.4,2000,2200,5.9,80.69,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,12,0.4,2000,600,2.9,78.36,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,12,0.4,2000,2200,3.2,77.35,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.2,2000,1400,2.4,83.45,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,0.8,10,0.6,2000,1400,4.7,77.96,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,0.8,10,0.2,2000,1400,2.1,83.11,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1.2,10,0.6,2000,1400,4.2,81.87,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1.2,10,0.4,2000,1400,3.2,81.2,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.4,2000,1400,3.2,81.2,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.4,2000,1400,3.2,81.2,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.4,2000,1400,3.2,81.2,1,,,,,
189.35,260.37,455,0.14,0.66,variable angle conical shaped part,1,10,0.4,2000,1400,3.2,81.2,1,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,450,1500,3.74,68.2,2.1185,https://link.springer.com/article/10.1007/s13369-022-07333-z,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,450,2500,4.01,67,2.0227,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,950,1500,3.45,61.5,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,950,2500,3.65,62.2,1.8698,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,450,1500,3.27,64.5,1.9428,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,450,2500,3.49,53.8,1.5728,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,950,1500,3.19,57.4,1.6945,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,950,2500,3.34,51.3,1.4899,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,1159.1,4.56,65.5,1.9794,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2840.8,5.18,54.3,1.5869,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,279.55,2000,3.54,59.5,1.7915,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,1120.4,2000,2.32,56.5,1.6525,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.1,700,2000,2.41,71.6,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,1.1,700,2000,1.92,61.4,1.8495,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.41,50.2,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.75,46.7,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.7,47.3,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.75,41.6,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.71,49.5,1.4491,,,,,
